Market Title,Outcome,Side,Size,Price,Condition ID,Timestamp,Transaction Hash,Event Slug
"Bitcoin Up or Down - April 29, 7:50PM-7:55PM ET",Up,BUY,22,0.26,0x5618d7d5ab0bf17074deb047ba5aa1b7b8e9cd8e4b5ef62e55b517dc791622a5,2026-04-30 02:55:06,0xeb908604952fa74176c31fa2801a069b48461ed6017b16b4b8a52a8e4e5621ec,btc-updown-5m-1777506600
"Bitcoin Up or Down - April 29, 7:10PM-7:15PM ET",Up,BUY,17,0.29,0xadbd87644ef62296111b15326c12cf6a46ec70b542e8b968592d27d989559f96,2026-04-30 02:15:12,0x4d6869ba4f49f67ce2c2b2fabd311811febdd4856d69a46f879202b479c59f09,btc-updown-5m-1777504200
"Bitcoin Up or Down - April 29, 7:05PM-7:10PM ET",Up,BUY,7.66,0.3,0x5ff8d8aacaf5ce1305488dbb26963ce276dce935a20beb244ed08312a0b5098f,2026-04-30 02:10:10,0xef332ff568bec12ae05c3069df2b234795a3d5736ce48353634b922b83b09ecc,btc-updown-5m-1777503900
"Bitcoin Up or Down - April 29, 5:40PM-5:45PM ET",Up,BUY,15,0.47,0xa05617704c6c248cfa03f846a34bd5fe98b9518e1b12e17cb5cb6403bf109f66,2026-04-30 00:45:10,0x3504aeb01c8c68bfc2d1da276252da5c2330a2fe67cab4a65488040af8bf544f,btc-updown-5m-1777498800
"Bitcoin Up or Down - April 29, 5:40PM-5:45PM ET",Up,BUY,15,0.49,0xa05617704c6c248cfa03f846a34bd5fe98b9518e1b12e17cb5cb6403bf109f66,2026-04-30 00:45:08,0x922846fa7f88923ec5a8524f5ee01496e121cd6e4efde0e5fe6b9601791993b0,btc-updown-5m-1777498800
"Bitcoin Up or Down - April 29, 5:00PM-5:05PM ET",Up,BUY,16,0.42,0xadf20b53fe363b05753b937d1b0f4423792efb805246ad32654dec407e6d282e,2026-04-30 00:05:12,0x5480f9f2b3497d09bea09c485ff397238a1061428b9ea7159a633857bc753770,btc-updown-5m-1777496400
"Bitcoin Up or Down - April 29, 10:20AM-10:25AM ET",Up,BUY,5,0.35,0x172d0185f4d4f04fb3d039fcd09542f44bd6d12e9a91715ec5880a0f2645c061,2026-04-29 17:25:12,0xb2d22f9e4426d15a919d16912e321450bad1fd9b1b4db6901c4e171f1c540539,btc-updown-5m-1777472400
"Bitcoin Up or Down - April 29, 9:00AM-9:05AM ET",Up,BUY,9,0.5,0x1a977b34ef4bd4add03ad7ef4e05921b80ddec54760f45d75f0bcc3eaea76d21,2026-04-29 16:05:06,0xb22c2b75441777f39347b68f7ca4bd8b347cace4f87903756c176525b298d899,btc-updown-5m-1777467600
"Bitcoin Up or Down - April 29, 2:45AM-3:00AM ET",Up,BUY,3,0.59,0xda96af6ba31ed1f90f5081f00fdd233b77b54ecfea22d1b72fa9cb013bd4823d,2026-04-29 09:59:58,0x94b8e1024205f017fd2003f66509ebf91aa238cad7584147d3147a3fa7fd291d,btc-updown-15m-1777445100
"Bitcoin Up or Down - April 28, 10:50PM-10:55PM ET",Up,BUY,3,0.5,0x9fcf453e73ff08ab5c63ac8eb2aef19dc865197ff01e2c1f1d470762839ba47e,2026-04-29 05:55:10,0x0f81b154dca192367ce6d6ae45f4c1434c0d7bfd81d414241e7a820acbeb6bf0,btc-updown-5m-1777431000
"Bitcoin Up or Down - April 28, 10:50PM-10:55PM ET",Up,BUY,2.86,0.29,0x9fcf453e73ff08ab5c63ac8eb2aef19dc865197ff01e2c1f1d470762839ba47e,2026-04-29 05:55:10,0xbadf24961862c70bce3f3bada6b784a51a02962d0189a8d04dd07b7a1641d4f0,btc-updown-5m-1777431000
"Bitcoin Up or Down - April 28, 10:15PM-10:20PM ET",Down,BUY,3,0.01,0x228ec8d812f16ed14478014d9a344e61c25c48b310a72b5d1347a13125f908ac,2026-04-29 05:20:10,0x1a56c9f1feefc61965ef3c813d15bdd4bc871c7ba3e44d174a267c53f40b9eb7,btc-updown-5m-1777428900
"Bitcoin Up or Down - April 28, 10:15PM-10:20PM ET",Down,BUY,4,0.48,0x228ec8d812f16ed14478014d9a344e61c25c48b310a72b5d1347a13125f908ac,2026-04-29 05:20:08,0xd0cd1211c0f2da2a7603c05b8a395786c3f7f675a553a83486f4c08a1fea9f79,btc-updown-5m-1777428900
"Bitcoin Up or Down - April 28, 8:10PM-8:15PM ET",Down,BUY,3,0.58,0x155f7f3a93a48d32e378cf637e72ae7e723c3d9b3e1c0feca953d4b14cd08efe,2026-04-29 03:15:04,0x343edc0e7eee5dd021cb016c7e305cf171a55006925065e49ceacb4ff0f93d45,btc-updown-5m-1777421400
