Market Title,Outcome,Condition ID,Realized PnL,Avg Price,Total Bought,Current Price,Trades,Timestamp,Event Slug,End Date
"Dogecoin Up or Down - April 27, 8:05AM-8:10AM ET",Down,0xe7940b9648b7b6f40aaaff73c55ce62b5de038f232a3cfa1997589b92cff7266,0.1096,0.99,10.96,1,1,2026-04-27 15:14:24,doge-updown-5m-1777291500,2026-04-27T00:00:00Z
"BNB Up or Down - April 27, 7:45AM-7:50AM ET",Down,0x831130385146366431480b4b754073e4d87b55436180b6ca078f0cf1a90eb542,2.640022,0.983291,158,1,1,2026-04-27 14:54:24,bnb-updown-5m-1777290300,2026-04-27T00:00:00Z
"BNB Up or Down - April 27, 6:40AM-6:45AM ET",Down,0x015210561e0b2bb7edacf8e9e73c374afd0a699b0197b527a7c99abf95a1c182,0.720049,0.989253,67,1,1,2026-04-27 13:49:24,bnb-updown-5m-1777286400,2026-04-27T00:00:00Z
"BNB Up or Down - April 26, 9:25PM-9:30PM ET",Down,0x6258c5744ca5991fab8f0ea839ca6acdd45d1c97364b84fca41179dfff9f2297,0.3589,0.99,35.89,1,1,2026-04-27 04:34:24,bnb-updown-5m-1777253100,2026-04-27T00:00:00Z
"Ethereum Up or Down - April 26, 9:20PM-9:25PM ET",Down,0x283391cf986a10a40ec5e64573c5a0e4d0036376fb0a1c00b3d26389500a49bd,52.4916,0.868771,400,1,1,2026-04-27 04:29:24,eth-updown-5m-1777252800,2026-04-27T00:00:00Z
"Dogecoin Up or Down - April 26, 8:45PM-8:50PM ET",Down,0x11ada4efa0a57b979f93b335db14d46a6d4dd9911580b6e40c10b526ce4ef69e,1.040072,0.988181,88,1,1,2026-04-27 03:54:24,doge-updown-5m-1777250700,2026-04-27T00:00:00Z
"Solana Up or Down - April 26, 5:35PM-5:40PM ET",Down,0x531c615037e7f162b442ff922f35621ec3e3d9d731ab0f4f69034d91bc570e1e,9.1434,0.86,65.31,1,1,2026-04-27 00:49:24,sol-updown-5m-1777239300,2026-04-26T00:00:00Z
"Solana Up or Down - April 26, 2:50PM-2:55PM ET",Down,0x60aafcef364c9dd2b7c214db0fba2cc98fbfcb234e23ebc8e436bde7fa847bab,4,0.99,400,1,0,2026-04-26 21:59:24,sol-updown-5m-1777229400,2026-04-26T00:00:00Z
"Solana Up or Down - April 26, 1:25PM-1:30PM ET",Down,0x4e83ffb5adff30a8c1bb329bc9cd7ea47fa0f21af784de319b1beff9394ee95e,0.05,0.99,5,1,0,2026-04-26 20:34:24,sol-updown-5m-1777224300,2026-04-26T00:00:00Z
"Bitcoin Up or Down - April 26, 11:55AM-12:00PM ET",Down,0xdfe2606dd333bcc4d06df7c4094ff5f55fe993fc7ed4eec4ab2e5db11fc17655,80,0.8,400,1,1,2026-04-26 19:04:24,btc-updown-5m-1777218900,2026-04-26T00:00:00Z
"Dogecoin Up or Down - April 26, 11:05AM-11:10AM ET",Down,0xf8a01b2cd3ba15b8b5e4ff656901689cee17e4c6cadc0ccb4cbbc025f08f4ec0,0.0352,0.99,3.52,1,0,2026-04-26 18:14:24,doge-updown-5m-1777215900,2026-04-26T00:00:00Z
"XRP Up or Down - April 26, 10:30AM-10:35AM ET",Down,0x05a278aab88f8ede71c5fc92cbc19c04d0259c9a3a937c4becde1ed2cefc8964,7.3992,0.981502,400,1,1,2026-04-26 17:39:24,xrp-updown-5m-1777213800,2026-04-26T00:00:00Z
"XRP Up or Down - April 26, 10:25AM-10:30AM ET",Down,0xb90ce100e36ef94e79c3987c668a7ced0426bef871b8bfb12c922a4b6dab2283,4,0.99,400,1,1,2026-04-26 17:34:24,xrp-updown-5m-1777213500,2026-04-26T00:00:00Z
"BNB Up or Down - April 26, 9:35AM-9:40AM ET",Down,0xc2a8d9552e6a2d425c39d931daf171337ab16b3aa76a264e78b01f338b3a04da,129.9844,0.675039,400,1,1,2026-04-26 16:44:24,bnb-updown-5m-1777210500,2026-04-26T00:00:00Z
"Solana Up or Down - April 26, 7:30AM-7:35AM ET",Down,0x8bddc2fadb675a84e46ffa13fee4f21c88042af2f323a2282d495d5039d67fc9,4,0.99,400,1,1,2026-04-26 14:39:24,sol-updown-5m-1777203000,2026-04-26T00:00:00Z
"Bitcoin Up or Down - April 26, 7:15AM-7:20AM ET",Down,0x564ee224fb328f5a592fad7721be98b7f148e166921ef8e185277e755fbf8dd0,4,0.99,400,1,0,2026-04-26 14:24:24,btc-updown-5m-1777202100,2026-04-26T00:00:00Z
"Solana Up or Down - April 26, 6:15AM-6:20AM ET",Down,0x42a56da4c91e6939daccaaf662b1d1993931ef27ba2687a12486cf15343ce385,3.2695,0.99,326.95,1,1,2026-04-26 13:24:24,sol-updown-5m-1777198500,2026-04-26T00:00:00Z
"Dogecoin Up or Down - April 26, 5:35AM-5:40AM ET",Down,0x83d58c6f2651cef61e3536d12d2050757874336ef1d36708c3b04c9236b95e96,0.775,0.99,77.5,1,0,2026-04-26 12:44:26,doge-updown-5m-1777196100,2026-04-26T00:00:00Z
"Bitcoin Up or Down - April 26, 3:00AM-3:05AM ET",Down,0xe9ea07cfc4b66e76ba695288481bda5b5ced08723918e792ef0188565e229f04,4,0.99,400,1,1,2026-04-26 10:09:24,btc-updown-5m-1777186800,2026-04-26T00:00:00Z
"Ethereum Up or Down - April 26, 2:30AM-2:35AM ET",Down,0x2abc01f3811bccbd2446739f94cf49a4fdd1bf923bc27d29994bf4ecc128cd48,4,0.99,400,1,1,2026-04-26 09:39:24,eth-updown-5m-1777185000,2026-04-26T00:00:00Z
"XRP Up or Down - April 26, 1:35AM-1:40AM ET",Down,0xb868a1f6d2b7bb82dd5677bf07d3df3aba6225d19555c35c3f393dc93e9dad51,4,0.99,400,1,1,2026-04-26 08:44:24,xrp-updown-5m-1777181700,2026-04-26T00:00:00Z
"Solana Up or Down - April 26, 1:30AM-1:35AM ET",Down,0x871a94775e796d39b56c59f8bd74e6bf1952a2bc6e08c0616072b49dc9913242,4,0.99,400,1,1,2026-04-26 08:39:24,sol-updown-5m-1777181400,2026-04-26T00:00:00Z
"Bitcoin Up or Down - April 26, 1:15AM-1:20AM ET",Down,0xc7b0b8994228264f586a410690dae696b7ae59524f65709527bdd79046d59947,39.646532,0.773267,174.86,1,1,2026-04-26 08:24:24,btc-updown-5m-1777180500,2026-04-26T00:00:00Z
